ID,LHS,LHS Type,RHS,Probability
0,S,nonterminal,PT_00 PT_07,0.196035
1,S,nonterminal,PT_00 PT_04,0.138349
2,S,nonterminal,PT_06 PT_00,0.020000
3,S,nonterminal,S PT_10,0.041457
4,S,nonterminal,S PT_09,0.051968
5,S,nonterminal,S S,0.167155
6,S,nonterminal,S PT_06,0.040186
7,S,nonterminal,S PT_05,0.036398
8,S,nonterminal,S PT_11,0.024524
9,S,nonterminal,PT_03 S,0.022772
10,S,nonterminal,PT_06 S,0.061062
11,S,nonterminal,S PT_08,0.020000
12,S,nonterminal,PT_00 S,0.020000
13,S,nonterminal,PT_00 PT_02,0.020000
14,S,nonterminal,S PT_00,0.020000
15,S,nonterminal,S PT_07,0.020000
16,S,nonterminal,PT_07 S,0.020000
17,S,nonterminal,PT_04 S,0.020000
18,S,nonterminal,PT_05 S,0.040093
19,S,nonterminal,PT_07 PT_01,0.020000
20,PT_00,preterminal,a,0.253309
21,PT_00,preterminal,eight,0.020000
22,PT_00,preterminal,five,0.020000
23,PT_00,preterminal,four,0.021891
24,PT_00,preterminal,nine,0.020000
25,PT_00,preterminal,one,0.028145
26,PT_00,preterminal,seven,0.020000
27,PT_00,preterminal,six,0.020000
28,PT_00,preterminal,ten,0.020000
29,PT_00,preterminal,the,0.359636
30,PT_00,preterminal,this,0.140727
31,PT_00,preterminal,three,0.020000
32,PT_00,preterminal,two,0.032836
33,PT_00,preterminal,very,0.023455
34,PT_01,preterminal,cried,0.250000
35,PT_01,preterminal,paused,0.250000
36,PT_01,preterminal,pauses,0.250000
37,PT_01,preterminal,traveled,0.250000
38,PT_02,preterminal,bridges,0.020000
39,PT_02,preterminal,stories,0.980000
40,PT_03,preterminal,ancient,0.020000
41,PT_03,preterminal,big,0.048205
42,PT_03,preterminal,brave,0.048205
43,PT_03,preterminal,bright,0.096410
44,PT_03,preterminal,calm,0.048205
45,PT_03,preterminal,careful,0.072308
46,PT_03,preterminal,eager,0.048205
47,PT_03,preterminal,gentle,0.020000
48,PT_03,preterminal,happy,0.048205
49,PT_03,preterminal,honest,0.024103
50,PT_03,preterminal,kind,0.024103
51,PT_03,preterminal,modern,0.024103
52,PT_03,preterminal,noisy,0.072308
53,PT_03,preterminal,quick,0.096410
54,PT_03,preterminal,quiet,0.020000
55,PT_03,preterminal,serious,0.048205
56,PT_03,preterminal,slow,0.096410
57,PT_03,preterminal,small,0.048205
58,PT_03,preterminal,smart,0.072308
59,PT_03,preterminal,wild,0.024103
60,PT_04,preterminal,artist,0.020000
61,PT_04,preterminal,bridge,0.020000
62,PT_04,preterminal,car,0.064574
63,PT_04,preterminal,cat,0.100897
64,PT_04,preterminal,city,0.068610
65,PT_04,preterminal,doctor,0.020000
66,PT_04,preterminal,dog,0.080717
67,PT_04,preterminal,forest,0.020000
68,PT_04,preterminal,garden,0.052466
69,PT_04,preterminal,idea,0.044395
70,PT_04,preterminal,library,0.044395
71,PT_04,preterminal,machine,0.040359
72,PT_04,preterminal,music,0.040359
73,PT_04,preterminal,planet,0.036323
74,PT_04,preterminal,professor,0.064574
75,PT_04,preterminal,project,0.084753
76,PT_04,preterminal,river,0.080717
77,PT_04,preterminal,story,0.020000
78,PT_04,preterminal,student,0.064574
79,PT_04,preterminal,teacher,0.032287
80,PT_05,preterminal,admire,0.021429
81,PT_05,preterminal,admired,0.026786
82,PT_05,preterminal,admires,0.016071
83,PT_05,preterminal,build,0.032143
84,PT_05,preterminal,builds,0.037500
85,PT_05,preterminal,built,0.026786
86,PT_05,preterminal,call,0.020000
87,PT_05,preterminal,called,0.020000
88,PT_05,preterminal,calls,0.016071
89,PT_05,preterminal,chase,0.021429
90,PT_05,preterminal,chased,0.026786
91,PT_05,preterminal,chases,0.053571
92,PT_05,preterminal,find,0.016071
93,PT_05,preterminal,finds,0.020000
94,PT_05,preterminal,follow,0.020000
95,PT_05,preterminal,followed,0.021429
96,PT_05,preterminal,follows,0.020000
97,PT_05,preterminal,found,0.020000
98,PT_05,preterminal,help,0.016071
99,PT_05,preterminal,helped,0.021429
100,PT_05,preterminal,helps,0.020000
101,PT_05,preterminal,meet,0.020000
102,PT_05,preterminal,meets,0.020000
103,PT_05,preterminal,met,0.020000
104,PT_05,preterminal,move,0.020000
105,PT_05,preterminal,moved,0.020000
106,PT_05,preterminal,moves,0.020000
107,PT_05,preterminal,praise,0.020000
108,PT_05,preterminal,praised,0.020000
109,PT_05,preterminal,praises,0.020000
110,PT_05,preterminal,prefer,0.020000
111,PT_05,preterminal,preferred,0.016071
112,PT_05,preterminal,prefers,0.016071
113,PT_05,preterminal,saw,0.037500
114,PT_05,preterminal,see,0.016071
115,PT_05,preterminal,sees,0.032143
116,PT_05,preterminal,solve,0.021429
117,PT_05,preterminal,solved,0.020000
118,PT_05,preterminal,solves,0.016071
119,PT_05,preterminal,visit,0.021429
120,PT_05,preterminal,visited,0.021429
121,PT_05,preterminal,visits,0.020000
122,PT_05,preterminal,watch,0.032143
123,PT_05,preterminal,watched,0.020000
124,PT_05,preterminal,watches,0.016071
125,PT_06,preterminal,at,0.154696
126,PT_06,preterminal,by,0.082873
127,PT_06,preterminal,from,0.049724
128,PT_06,preterminal,in,0.237569
129,PT_06,preterminal,near,0.033149
130,PT_06,preterminal,on,0.204420
131,PT_06,preterminal,quite,0.066298
132,PT_06,preterminal,really,0.027624
133,PT_06,preterminal,with,0.143646
134,PT_07,preterminal,artists,0.028916
135,PT_07,preterminal,cars,0.083855
136,PT_07,preterminal,cats,0.069398
137,PT_07,preterminal,cities,0.089639
138,PT_07,preterminal,doctors,0.020000
139,PT_07,preterminal,dogs,0.098313
140,PT_07,preterminal,forests,0.020000
141,PT_07,preterminal,gardens,0.052048
142,PT_07,preterminal,ideas,0.086747
143,PT_07,preterminal,libraries,0.054940
144,PT_07,preterminal,machines,0.031807
145,PT_07,preterminal,planets,0.031807
146,PT_07,preterminal,professors,0.092530
147,PT_07,preterminal,projects,0.069398
148,PT_07,preterminal,rivers,0.049157
149,PT_07,preterminal,songs,0.040482
150,PT_07,preterminal,students,0.054940
151,PT_07,preterminal,teachers,0.026024
152,PT_08,preterminal,can,0.341818
153,PT_08,preterminal,could,0.085455
154,PT_08,preterminal,may,0.020000
155,PT_08,preterminal,might,0.020000
156,PT_08,preterminal,should,0.170909
157,PT_08,preterminal,will,0.020000
158,PT_08,preterminal,would,0.341818
159,PT_09,preterminal,arrive,0.040930
160,PT_09,preterminal,arrives,0.051163
161,PT_09,preterminal,collapse,0.020465
162,PT_09,preterminal,collapses,0.020465
163,PT_09,preterminal,cough,0.020465
164,PT_09,preterminal,coughs,0.020465
165,PT_09,preterminal,cries,0.020465
166,PT_09,preterminal,cry,0.020000
167,PT_09,preterminal,dance,0.030698
168,PT_09,preterminal,dances,0.061395
169,PT_09,preterminal,depart,0.061395
170,PT_09,preterminal,departs,0.061395
171,PT_09,preterminal,laugh,0.020465
172,PT_09,preterminal,laughs,0.061395
173,PT_09,preterminal,pause,0.020000
174,PT_09,preterminal,shout,0.020465
175,PT_09,preterminal,shouts,0.020465
176,PT_09,preterminal,sleep,0.040930
177,PT_09,preterminal,sleeps,0.081860
178,PT_09,preterminal,smile,0.061395
179,PT_09,preterminal,smiles,0.020465
180,PT_09,preterminal,sneeze,0.020000
181,PT_09,preterminal,sneezes,0.030698
182,PT_09,preterminal,travel,0.020000
183,PT_09,preterminal,travels,0.020000
184,PT_09,preterminal,wait,0.030698
185,PT_09,preterminal,waits,0.051163
186,PT_09,preterminal,wander,0.020000
187,PT_09,preterminal,wanders,0.030698
188,PT_10,preterminal,arrived,0.197183
189,PT_10,preterminal,collapsed,0.028169
190,PT_10,preterminal,coughed,0.070423
191,PT_10,preterminal,danced,0.056338
192,PT_10,preterminal,departed,0.084507
193,PT_10,preterminal,laughed,0.112676
194,PT_10,preterminal,shouted,0.056338
195,PT_10,preterminal,slept,0.112676
196,PT_10,preterminal,smiled,0.070423
197,PT_10,preterminal,sneezed,0.042254
198,PT_10,preterminal,waited,0.056338
199,PT_10,preterminal,wandered,0.112676
200,PT_11,preterminal,abroad,0.040952
201,PT_11,preterminal,ahead,0.020476
202,PT_11,preterminal,anywhere,0.020476
203,PT_11,preterminal,away,0.020476
204,PT_11,preterminal,back,0.020000
205,PT_11,preterminal,downstairs,0.020000
206,PT_11,preterminal,elsewhere,0.061429
207,PT_11,preterminal,everywhere,0.020000
208,PT_11,preterminal,home,0.061429
209,PT_11,preterminal,inside,0.061429
210,PT_11,preterminal,later,0.020000
211,PT_11,preterminal,nearby,0.061429
212,PT_11,preterminal,outside,0.102381
213,PT_11,preterminal,somewhere,0.020000
214,PT_11,preterminal,soon,0.020000
215,PT_11,preterminal,today,0.102381
216,PT_11,preterminal,tomorrow,0.102381
217,PT_11,preterminal,tonight,0.020000
218,PT_11,preterminal,upstairs,0.102381
219,PT_11,preterminal,yesterday,0.102381
