ID,LHS,LHS Type,RHS,Probability
0,DT,preterminal,the,0.469003
1,NNS,preterminal,songs,0.061069
2,CAT_1,preterminal,departs,0.114286
3,CAT_4,preterminal,in,0.290123
4,NNS,preterminal,gardens,0.045802
5,CAT_6,preterminal,really,0.090909
6,JJ,preterminal,smart,0.161290
7,CAT_5,preterminal,library,0.054054
8,CAT_4,preterminal,at,0.154321
9,DT,preterminal,this,0.175202
10,CAT_5,preterminal,student,0.070270
11,CAT_4,preterminal,with,0.104938
12,DT,preterminal,a,0.355795
13,CAT_5,preterminal,teacher,0.037838
14,CAT_15,preterminal,paused,1.000000
15,NNS,preterminal,cars,0.072519
16,CAT_17,preterminal,slept,0.186047
17,CAT_5,preterminal,cat,0.118919
18,CAT_19,preterminal,travels,0.285714
19,NNS,preterminal,students,0.076336
20,V,preterminal,chase,0.034483
21,CAT_5,preterminal,music,0.070270
22,CAT_8,preterminal,two,0.202381
23,NNS,preterminal,rivers,0.041985
24,CAT_4,preterminal,by,0.098765
25,CAT_5,preterminal,machine,0.037838
26,CAT_16,preterminal,shouts,0.150000
27,NNS,preterminal,ideas,0.095420
28,CAT_16,preterminal,dance,0.100000
29,CAT_1,preterminal,coughed,0.200000
30,CAT_8,preterminal,six,0.119048
31,V_14,preterminal,chased,0.147059
32,CAT_6,preterminal,quite,0.272727
33,JJ,preterminal,noisy,0.129032
34,CAT_18,preterminal,today,0.071429
35,CAT_18,preterminal,tonight,0.107143
36,CAT_8,preterminal,five,0.130952
37,CAT_4,preterminal,from,0.098765
38,CAT_17,preterminal,shouted,0.093023
39,CAT_1,preterminal,arrives,0.085714
40,CAT_5,preterminal,city,0.043243
41,CAT_5,preterminal,river,0.054054
42,CAT_17,preterminal,waited,0.162791
43,CAT_5,preterminal,dog,0.091892
44,V,preterminal,calls,0.034483
45,V,preterminal,visit,0.068966
46,JJ,preterminal,big,0.096774
47,CAT_5,preterminal,forest,0.027027
48,CAT_18,preterminal,away,0.071429
49,V,preterminal,admires,0.120690
50,CAT_5,preterminal,car,0.064865
51,CAT_4,preterminal,on,0.234568
52,NNS,preterminal,libraries,0.034351
53,CAT_3,preterminal,artists,1.000000
54,NNS,preterminal,machines,0.049618
55,CAT_8,preterminal,one,0.154762
56,NNS,preterminal,dogs,0.106870
57,CAT_16,preterminal,arrive,0.150000
58,CAT_8,preterminal,three,0.119048
59,CAT_8,preterminal,seven,0.059524
60,NNS,preterminal,professors,0.080153
61,CAT_6,preterminal,very,0.636364
62,CAT_5,preterminal,bridge,0.016216
63,CAT_5,preterminal,garden,0.043243
64,NNS,preterminal,cities,0.095420
65,CAT_5,preterminal,project,0.064865
66,V,preterminal,call,0.017241
67,NNS,preterminal,teachers,0.038168
68,CAT_5,preterminal,artist,0.021622
69,CAT_16,preterminal,wander,0.150000
70,CAT_5,preterminal,idea,0.032432
71,NNS,preterminal,projects,0.045802
72,V,preterminal,watch,0.051724
73,CAT_5,preterminal,professor,0.081081
74,CAT_1,preterminal,smiles,0.057143
75,CAT_5,preterminal,story,0.016216
76,V,preterminal,chases,0.051724
77,V_14,preterminal,builds,0.029412
78,NNS,preterminal,cats,0.080153
79,CAT_16,preterminal,depart,0.150000
80,JJ,preterminal,gentle,0.032258
81,NNS,preterminal,planets,0.038168
82,CAT_8,preterminal,four,0.107143
83,V_14,preterminal,find,0.058824
84,CAT_1,preterminal,travel,0.028571
85,CAT_17,preterminal,danced,0.046512
86,CAT_9,preterminal,may,0.250000
87,V,preterminal,prefer,0.017241
88,V,preterminal,found,0.068966
89,CAT_18,preterminal,downstairs,0.107143
90,JJ,preterminal,happy,0.064516
91,V,preterminal,built,0.103448
92,JJ,preterminal,small,0.064516
93,CAT_5,preterminal,doctor,0.021622
94,CAT_18,preterminal,outside,0.071429
95,CAT_18,preterminal,inside,0.178571
96,CAT_18,preterminal,back,0.071429
97,V_14,preterminal,admire,0.147059
98,CAT_17,preterminal,sneezed,0.046512
99,CAT_5,preterminal,planet,0.032432
100,V_14,preterminal,follow,0.176471
101,CAT_2,preterminal,abroad,0.500000
102,CAT_17,preterminal,wandered,0.139535
103,V_14,preterminal,see,0.147059
104,CAT_9,preterminal,can,0.500000
105,NNS,preterminal,stories,0.015267
106,CAT_16,preterminal,laugh,0.150000
107,CAT_17,preterminal,arrived,0.139535
108,JJ,preterminal,serious,0.064516
109,CAT_1,preterminal,sleeps,0.085714
110,CAT_17,preterminal,smiled,0.069767
111,JJ,preterminal,kind,0.064516
112,CAT_1,preterminal,wanders,0.142857
113,JJ,preterminal,calm,0.032258
114,V,preterminal,follows,0.034483
115,CAT_19,preterminal,collapses,0.142857
116,V,preterminal,finds,0.120690
117,JJ,preterminal,eager,0.064516
118,V_14,preterminal,solved,0.147059
119,V,preterminal,solves,0.068966
120,NNS,preterminal,doctors,0.011450
